Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.attck.json	3326	-	0	0	0	0	0	0	14	148	0	0	0	0	0	0	0	0	0	0	0	95	92	0	0	0	3	0	1
fsh-generated/resources/AuditEvent-ExampleHoneypotDetectionT1213.json	1427	4	0	0	1	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	18	19	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-MITRE-ATTCK-Tactics.json	1507	2	0	0	0	0	0	0	1	6	0	0	1	0	0	0	0	0	0	0	0	21	117	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-MITRE-ATTCK-Techniques.json	363397	102	0	0	1	0	0	0	64	252	0	0	0	0	0	0	0	5	0	0	0	800	990	0	0	0	51	0	4
fsh-generated/resources/StructureDefinition-fhirpot-audit-event.json	2226	3	0	53	0	0	0	0	0	615	0	0	1	0	0	0	0	2	0	0	0	180	1032	0	0	0	11	0	1
fsh-generated/resources/ValueSet-MITRE-ATTCK-Tactics.json	516	1	0	0	1	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	10	149	0	0	0	1	0	0
fsh-generated/resources/ValueSet-MITRE-ATTCK-Techniques.json	641	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	9	255	0	0	0	12	0	0
/fsh-generated/includes/menu.xml	1043	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/fsh-generated/includes/fsh-link-references.md	384	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/mitre_attck_notes.md	3620	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/downloads.md	313	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
/input/pagecontent/index.md	1194	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/input/pagecontent/styleheader.md	1429	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config	0	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/template/config/_config.yml	140	-	-	-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
/temp/pages/_includes/artifacts.xml	6291	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	0	0	0	0	0	0
